Client,Numero,Matricule,present
GERMANI WEST AFRICA,106103,AA077YW,non
GERMANI WEST AFRICA,106104,AA071YW,non
GERMANI WEST AFRICA,106106,AA180EB,non
GERMANI WEST AFRICA,106107,AA079YW,non
GERMANI WEST AFRICA,106108,AA073YW,non
GERMANI WEST AFRICA,106109,AA740ZD,non
GERMANI WEST AFRICA,106110,AA086YW,non
GERMANI WEST AFRICA,106111,AA320YZ,non
GERMANI WEST AFRICA,106112,AA076YW,non
GERMANI WEST AFRICA,106113,AA656XK,non
GERMANI WEST AFRICA,106114,AA445EB,non
GERMANI WEST AFRICA,106115,AA309YZ,non
GERMANI WEST AFRICA,106116,AA797XP,non
GERMANI WEST AFRICA,106117,AA004XW,non
GERMANI WEST AFRICA,106118,AA084YW,non
GERMANI WEST AFRICA,106119,AA135XW,non
GERMANI WEST AFRICA,106120,AA105XW,non
GERMANI WEST AFRICA,106121,AA810XP,non
GERMANI WEST AFRICA,106122,AA793XP,non
GERMANI WEST AFRICA,106123,AA807XP,non
GERMANI WEST AFRICA,106124,AA110XW,non
GERMANI WEST AFRICA,106125,AA651XK,non
GERMANI WEST AFRICA,106126,AA804XP,non
GERMANI WEST AFRICA,106127,AA808XP,non
GERMANI WEST AFRICA,106128,AA648XK,non
GERMANI WEST AFRICA,109968,AA058XW,non
GERMANI WEST AFRICA,109972,AA421YE,non
GERMANI WEST AFRICA,109973,AA737ZD,non
GERMANI WEST AFRICA,112613,AA803XP,non
GERMANI WEST AFRICA,112614,AA631XP,non
GERMANI WEST AFRICA,112615,AA646XP,non
GERMANI WEST AFRICA,112616,AA597XK,non
GERMANI WEST AFRICA,112617,AA132XW,non
GERMANI WEST AFRICA,112618,AA813XP,non
GERMANI WEST AFRICA,112619,AA811XP,non
GERMANI WEST AFRICA,112620,AA670XP,non
GERMANI WEST AFRICA,112621,AA064XW,non
GERMANI WEST AFRICA,112622,AA637XK,non
GERMANI WEST AFRICA,112623,AA131XW,non
GERMANI WEST AFRICA,112624,AA628XK,non
GERMANI WEST AFRICA,112625,AA067XW,non
GERMANI WEST AFRICA,112626,AA608XK,non
GERMANI WEST AFRICA,112627,AA119XW,non
GERMANI WEST AFRICA,112628,AA013XW,non
GERMANI WEST AFRICA,112629,AA071XW,non
GERMANI WEST AFRICA,112630,AA677XP,non
GERMANI WEST AFRICA,112631,AA799XP,non
GERMANI WEST AFRICA,112632,AA043XW,non
GERMANI WEST AFRICA,112633,AA008XW,non
GERMANI WEST AFRICA,112634,AA816XP,non
GERMANI WEST AFRICA,112635,AA818XP,non
GERMANI WEST AFRICA,112636,AA053XW,non
GERMANI WEST AFRICA,112637,AA681XP,non
GERMANI WEST AFRICA,112638,AA116XW,non
GERMANI WEST AFRICA,112639,AA077XW,non
GERMANI WEST AFRICA,112640,AA081XW,non
GERMANI WEST AFRICA,112648,AA047XW,non
GERMANI WEST AFRICA,112734,AA615XP,non
GERMANI WEST AFRICA,112735,AA378YR,non
GERMANI WEST AFRICA,112736,AA424YE,non
GERMANI WEST AFRICA,121342,AB670FG,non
GDS,116294,EX1411,non
GCO,116059,AB962DV,non
GCO,116274,AB571DK,non
GCO,116275,AB578DK,non
GCO,116276,AB584DK,non
GCO,116298,AA074BF,non
GCO,116306,AB515FF,non
GCO,116315,AB177DR,non
GSO,118611,AA784EH0,non
GTM,109955,TH0285EX,non
GTM,116097,2725EX,non
HERTZ,126194,AB477FS,non
INEO,116297,AA447SB,non
IZYCAB SARL,121496,AA145JC,non
KEDA SN CERAMIC,109507,AA776CN,non
KEDA SN CERAMIC,116075,AB893FB ,non
KEDA SN CERAMIC,116079,AB398EZ,non
KEDA SN CERAMIC,116111,AB362EZ,non
KHELCOM BACHE,109916,AA066JG,non
KHELCOM BACHE,109928,AB044EY,non
KHELCOM BACHE,116271,AB129DM,non
KHELCOM BACHE,116272,AA246NL,non
KHELCOM BACHE,116273,AA562SS,non
KHOURY TRANSPORT,109934,AA347AW,non
KHOURY TRANSPORT,116061,AA574PB0,non
KHOURY TRANSPORT,116063,AB219BJ,non
KHOURY TRANSPORT,116064,AA004VY,non
KHOURY TRANSPORT,116267,AA055BR,non
KHOURY TRANSPORT,116268,AB628DQ,non
KHOURY TRANSPORT,116269,AB234BJ,non
KHOURY TRANSPORT,116270,AA329DV.,non
KHOURY TRANSPORT,116277,AB226BJ,non
KHOURY TRANSPORT,116293,AA063EF0,non
LABOREX SENEGAL,116304,AA041BF,non
LABOREX SENEGAL,121343,AB736FR,non
LABOREX SENEGAL,121344,AB723FR,non
LABOREX SENEGAL,126192,AA787BL.,non
LABOREX SENEGAL,126193,AA424CX,non
LDB,116077,AA758RQ,non
LDB,116066,AA501GE0,non
LDB,116067,AA503GE0,non
LDB,116295,AB289EG,non
LDB,126176,AA148EX,non
LDB,126177,AA181RV,non
LDB,126178,AA184RV,non
LDB,126179,AA762CJ,non
LDB,126180,AA490EG,non
LAS AIBD,116284,AA196BQ,non
LAYOUSSE,121371,AA219NS,non
LAYOUSSE,121373,AA218MR,non
LAYOUSSE,121374,AA213MR,non
LAYOUSSE,121375,AA210PW,non
LAYOUSSE,121376,AA194SY,non
LAYOUSSE,121377,AA192SY,non
LAYOUSSE,121378,AA179TN,non
LAYOUSSE,121379,AA176TN,non
LAYOUSSE,121380,AA163GH,non
LAYOUSSE,121381,AA158QP,non
LAYOUSSE,121382,AA155QP,non
LAYOUSSE,121383,AA154JT,non
LAYOUSSE,121384,AA153JT,non
LAYOUSSE,121385,AA148TN,non
LAYOUSSE,121386,AA144TN,non
LAYOUSSE,121387,AA141JT,non
LAYOUSSE,121388,AA102PB,non
LAYOUSSE,121421,AA698TV,non
LAYOUSSE,121422,AA694TV,non
LAYOUSSE,121423,AA685TV,non
LAYOUSSE,121424,AA655RC,non
LAYOUSSE,121425,AA634RC,non
LAYOUSSE,121426,AA630RC,non
LAYOUSSE,121427,AA586TH,non
LAYOUSSE,121428,AA579TH,non
LAYOUSSE,121429,AA547TH,non
LAYOUSSE,121430,AA491NP,non
LAYOUSSE,121431,AA487QN,non
LAYOUSSE,121432,AA486HH,non
LAYOUSSE,121433,AA483HH,non
LAYOUSSE,121434,AA482HH,non
LAYOUSSE,121435,AA477HH,non
LAYOUSSE,121436,AA475PF,non
LAYOUSSE,121437,AA475HH,non
LAYOUSSE,121438,AA473HH,non
LAYOUSSE,121439,AA471HH,non
LAYOUSSE,121440,AA470HH,non
LAYOUSSE,121441,AA464QN,non
LAYOUSSE,121442,AA447QN,non
LAYOUSSE,121443,AA446PA,non
LAYOUSSE,121444,AA436GF,non
LAYOUSSE,121445,AA424QN,non
LAYOUSSE,121446,AA409SJ,non
LAYOUSSE,121447,AA407GF,non
LAYOUSSE,121448,AA406GF,non
LAYOUSSE,121449,AA404GF,non
LAYOUSSE,121450,AA402GF,non
LAYOUSSE,121451,AA399GF,non
LAYOUSSE,121452,AA396GF,non
LAYOUSSE,121453,AA346QV,non
LAYOUSSE,121454,AA317SJ,non
LAYOUSSE,121455,AA317PV,non
LAYOUSSE,121456,AA317GF.,non
LAYOUSSE,121457,AA316QV,non
LAYOUSSE,121458,AA313GF,non
LAYOUSSE,121459,AA312SJ,non
LAYOUSSE,121460,AA305SJ,non
LAYOUSSE,121461,AA303QV,non
LAYOUSSE,121462,AA300SJ,non
LAYOUSSE,121463,AA299GF,non
LAYOUSSE,121464,AA296SJ,non
LAYOUSSE,121465,AA249RQ,non
LAYOUSSE,121466,AA244RQ,non
LAYOUSSE,121467,AA227HH,non
LAYOUSSE,121468,AA224HH,non
LAYOUSSE,121469,AA221NS,non
LAYOUSSE,121470,AA220TJ,non
LAYOUSSE,126076,AA692SE,non
LAYOUSSE,126077,AA776AL,non
LAYOUSSE,126078,AA769AL,non
LAYOUSSE,126079,AA522QY,non
LAYOUSSE,126080,AA537QY,non
LAYOUSSE,126081,AA513QY,non
LAYOUSSE,126082,AA633RC,non
LAYOUSSE,126083,AA671TB,non
LAYOUSSE,126084,AA768AL,non
LAYOUSSE,126085,AA694SE,non
LAYOUSSE,126086,AA601QZ,non
LAYOUSSE,126087,AA757AL,non
LAYOUSSE,126088,AA766AL,non
LAYOUSSE,126089,AA766SE,non
LAYOUSSE,126090,AA756AL,non
LAYOUSSE,126091,AA552QY,non
LAYOUSSE,126092,AA770AL,non
LAYOUSSE,126093,AA773AL,non
LAYOUSSE,126094,AA771FW,non
LAYOUSSE,126095,AA550QY,non
LAYOUSSE,126096,AA511QY,non
LAYOUSSE,126097,AA777SE,non
LAYOUSSE,126098,AA430VJ,non
LAYOUSSE,126099,AA405VJ,non
LAYOUSSE,126100,AA404VJ,non
LAYOUSSE,126101,AA403VJ,non
LAYOUSSE,126102,AA402VJ,non
LAYOUSSE,126103,AA401VJ,non
LAYOUSSE,126104,AA400VJ,non
LAYOUSSE,126105,AA399VJ,non
LAYOUSSE,126106,AA397VJ,non
LAYOUSSE,126107,AA396VJ,non
LAYOUSSE,126108,AA385NB,non
LAYOUSSE,126109,AA365SE,non
LAYOUSSE,126110,AA336VX,non
LAYOUSSE,126111,AA335VX,non
LAYOUSSE,126112,AA335QV,non
LAYOUSSE,126113,AA334VX,non
LAYOUSSE,126114,AA323QV,non
LAYOUSSE,126115,AA295QV,non
LAYOUSSE,126116,AA293SJ,non
LAYOUSSE,126117,AA276RV,non
LAYOUSSE,126118,AA273RV,non
LAYOUSSE,126119,AA231RQ,non
LAYOUSSE,126120,AA216SK,non
LAYOUSSE,126121,AA214SK,non
LAYOUSSE,126122,AA195SY,non
LAYOUSSE,126123,AA161PV,non
LAYOUSSE,126124,AA816PN,non
LAYOUSSE,126125,AA795QK,non
LAYOUSSE,126126,AA562YQ,non
LAYOUSSE,126127,AA558YQ,non
LAYOUSSE,126128,AA547YQ,non
LAYOUSSE,126129,AA286RV,non
LAYOUSSE,126130,AA280RV,non
LAYOUSSE,126131,AA214VD,non
LAYOUSSE,126132,AA166TN,non
LAYOUSSE,126133,DK9180AE,non
LAYOUSSE,126134,AA975NV,non
LAYOUSSE,126135,AA971JD,non
LAYOUSSE,126136,AA968JD,non
LAYOUSSE,126137,AA966JD,non
LAYOUSSE,126138,AA964JD,non
LAYOUSSE,126139,AA954HF,non
LAYOUSSE,126140,AA953HF,non
LAYOUSSE,126141,AA952NV,non
LAYOUSSE,126142,AA934JB,non
LAYOUSSE,126143,AA881QX,non
LAYOUSSE,126144,AA880JB,non
LAYOUSSE,126145,AA878QX,non
LAYOUSSE,126146,AA878JB,non
LAYOUSSE,126148,AA877NV,non
LAYOUSSE,126149,AA868QG,non
LAYOUSSE,126150,AA867JB,non
LAYOUSSE,126151,AA858JB,non
LAYOUSSE,126152,AA856JB,non
LAYOUSSE,126153,AA855QX,non
LAYOUSSE,126154,AA855JB,non
LAYOUSSE,126155,AA854JB,non
LAYOUSSE,126156,AA850JB,non
LAYOUSSE,126157,AA843QX,non
LAYOUSSE,126158,AA842QG,non
LAYOUSSE,126159,AA838QK,non
LAYOUSSE,126160,AA815GQ,non
LAYOUSSE,126161,AA814GQ,non
LAYOUSSE,126162,AA812GQ,non
LAYOUSSE,126163,AA810QK,non
LAYOUSSE,126164,AA808GQ,non
LAYOUSSE,126165,AA802GQ,non
LAYOUSSE,126166,AA786GQ,non
LAYOUSSE,126167,AA774SN,non
LAYOUSSE,126168,AA774RC,non
LAYOUSSE,126169,AA771SN,non
LAYOUSSE,126170,AA761GQ,non
LAYOUSSE,126171,AA760SN,non
LAYOUSSE,126172,AA743GQ,non
LAYOUSSE,126173,AA732GQ,non
LAYOUSSE,126174,AA714TV,non
LAYOUSSE,126175,AA707TV,non
LAYOUSSE,126195,DK1534AM,non
LAYOUSSE,126196,DK1533AM,non
LAYOUSSE,126197,DK1536AM,non
LAYOUSSE,126198,DK1535AM,non
LAYOUSSE,126199,DK1532AM,non
LAYOUSSE,126200,DK0777BC,non
LAYOUSSE,126201,DK0776BC,non
LAYOUSSE,126202,DK0775BC,non
LAYOUSSE,126203,DK0772BC,non
LAYOUSSE,126204,DK0769BC,non
LAYOUSSE,126205,DK0766BC,non
LAYOUSSE,126206,AA889FN,non
LAYOUSSE,126207,AA295VX,non
LAYOUSSE,126208,AA244VZ,non
LAYOUSSE,126209,AA241VZ,non
LAYOUSSE,126210,AA240VZ,non
LAYOUSSE,126211,AA238VZ,non
LAYOUSSE,126212,AA230VZ,non
LAYOUSSE,126213,AA984LH,non
LAYOUSSE,126214,AA921FP,non
LAYOUSSE,126215,AA918VY,non
LAYOUSSE,126216,AA909VY,non
LAYOUSSE,126217,AA719TV,non
LAYOUSSE,126218,AA845RH,non
LAYOUSSE,126219,AA833QG,non
LAYOUSSE,126220,AA797AL,non
LAYOUSSE,126221,AA788AL,non
LAYOUSSE,126222,AA784AL,non
LAYOUSSE,126223,AA782AL,non
LAYOUSSE,126224,AA781RC,non
LAYOUSSE,126225,AA780AL,non
LAYOUSSE,126376,AA737PM,non
LAYOUSSE,126377,AA717VQ,non
LAYOUSSE,126378,AA696VQ,non
LAYOUSSE,126379,AA647TB,non
LAYOUSSE,126380,AA258RQ,non
LAYOUSSE,126381,AA202PM,non
LAYOUSSE,126382,AA885AL,non
LAYOUSSE,126383,AA880AL,non
LAYOUSSE,126384,AA875AL,non
LAYOUSSE,126385,AA868AL,non
LAYOUSSE,126386,AA861AL,non
LAYOUSSE,126387,AA825AL,non
LAYOUSSE,126388,AA812AL,non
LAYOUSSE,126389,AA805AL,non
LAYOUSSE,126390,AA794AL,non
LAYOUSSE,126391,AA765AL,non
LAYOUSSE,126392,AA764AL,non
LAYOUSSE,126393,AA763AL,non
LAYOUSSE,126394,AA762AL,non
LAYOUSSE,126395,AA761AL,non
LAYOUSSE,126396,AA760AL,non
LAYOUSSE,126397,AA759AL,non
LAYOUSSE,126398,AA758AL,non
LAYOUSSE,126399,AA755AL,non
LAYOUSSE,126400,AA754AL,non
LAYOUSSE,126401,AA752VQ,non
LAYOUSSE,126402,AA752AL,non
LAYOUSSE,126403,AA747VQ,non
LAYOUSSE,126404,AA745VQ,non
LAYOUSSE,126405,AA743VQ,non
LAYOUSSE,126406,AA740VQ,non
LAYOUSSE,126407,AA738VQ,non
LAYOUSSE,126408,AA729VQ,non
LAYOUSSE,126409,AA721VQ,non
LAYOUSSE,126410,AA275SZ,non
LAYOUSSE,126411,AA273SZ,non
LAYOUSSE,126412,AA163JT,non
LAYOUSSE,126413,AA878FV,non
LAYOUSSE,126414,AA875FV,non
LAYOUSSE,126415,AA862FV,non
LAYOUSSE,126416,AA861FV,non
LAYOUSSE,126417,AA807QG,non
LAYOUSSE,126418,AA781VD,non
LAYOUSSE,126419,AA753VD,non
LAYOUSSE,126420,AA706VQ,non
LAYOUSSE,126421,AA664TB,non
LAYOUSSE,126422,AA644TB,non
LAYOUSSE,126423,AA616VH,non
LAYOUSSE,126424,AA611VH,non
LAYOUSSE,126425,AA571YQ,non
MCA,112732,AD0276TTA1,non
MCA,116056,3871TTA1,non
"MCA,116057,3872TTA1	,non"
NEUROTECH,112719,DK9147QT,non
NEUROTECH,112722,AA274BN,non
NEUROTECH,112723,AA600BN,non
NEUROTECH,112724,DK8617B,non
NMK TRANSPORT,92137,AA157LJ,non
NOUVELLES FRONTIERE DU SENEGAL,118784,AB772B,non
NOUVELLES FRONTIERE DU SENEGAL,118785,AB028BE,non
NSIA BANQUE,109992,AA887CP,non
NSIA BANQUE,116020,AB155CQ,non
ORYX GAZ SENEGAL,116054,AB906BS,non
ORYX GAZ SENEGAL,118782,AA765WN,non
PACIFIC AGENCY,69979,DK10010EX,non
PACIFIC AGENCY,126187,AA261GC,non
PACIFIC AGENCY,126188,AA043EL,non
PLAN INTERNATIONAL ONG,109994,PLAN IT 189,non
PLAN INTERNATIONAL ONG,112717,PLAN IT449,non
PLAN INTERNATIONAL ONG,112718,PLAN IT 450,non
PLAN INTERNATIONAL ONG,121345,PLAN IT 453,non
PLAN INTERNATIONAL ONG,121346,PLAN IT 452,non
SAGAM SECURITE,109945,DK0582BL0,non
SAGAM SECURITE,118787,AA524CS,non
SAGAM SECURITE,118788,AA030YY,non
SAGAM SECURITE,112009,AA315ML,non
SAGAM SECURITE,116018,AB780CZ,non
SAGAM SECURITE,116019,AB781CZ,non
SAGAM SECURITE,116081,AA511CS,non
SAGAM SECURITE,118723,AA260NS,non
SAGAM SECURITE,118728,AA416YB,non
SAGAM SECURITE,118729,AA550CS,non
SENAC SA,109932,AA581GV,non
SENAC SA,109933,AA927KN,non
SENAC SA,109985,DK72150BD,non
SENAC SA,116313,AA479ZN,non
SENAC SA,116314,AA202QG,non
SENAS AUCHAN,109947,AB927AC,non
SENAS AUCHAN,109957,AA458DD00,non
SENAS AUCHAN,112712,AA184HM,non
SENAS AUCHAN,112713,AA370LZ,non
SENAS AUCHAN,113559,DK4490BK0,non
SENAS AUCHAN,116108,AB016CT,non
SENECARTOURS,109937,AA718KC,non
SENECARTOURS,109939,AA510AB,non
SENECARTOURS,116055,AA409HD,non
SENECARTOURS,116076,AB532EG,non
SENECARTOURS,116078,AB115FE,non
SENECARTOURS,116080,AB147FE,non
SENECARTOURS,116110,AB149FE,non
SENECARTOURS,116454,AB754BT,non
SENECARTOURS,116453,AB760BT,non
SENECARTOURS,116452,AB757BT,non
SENECARTOURS,116451,AB751BT,non
SENECARTOURS,116223,AA418DN,non
SENECARTOURS,121324,AA682NP,non
SENECARTOURS,126185,AB669GE,non
SENECARTOURS,126186,AB671GE,non
SENECARTOURS,126190,AB674GE,non
SENECARTOURS,126191,AA452VR,non
SENELEC,13192,DK3135BM,non
SENELEC,25463,DK6909BC,non
SENELEC,109508,AA597BA,non
SENELEC,109971,AA133BT,non
SENELEC,121321,AA346DQ,non
SENELEC,121322,AA139SB.,non
SENELEC,121323,AB088AC,non
SENELEC,121501,AB798DV,non
SENELEC,121502,AB797DV,non
SENELEC,121503,AB417DJ,non
SENELEC,121504,AB415DJ,non
SENELEC,121506,AB409DJ,non
SENELEC,121507,AB412DJ,non
SENELEC,121508,AB406DJ,non
SENELEC,121509,AB403DJ,non
SENELEC,121510,AB399DJ,non
SENELEC,121511,AB391DJ,non
SENELEC,121512,AB668FC,non
SENELEC,121513,AB519FD,non
SENELEC,121514,AB041ER,non
SENELEC,121515,AB660EQ,non
SENELEC,121516,AA156VH,non
SENELEC,121517,AB114CH,non
SENELEC,121518,AA116AN,non
SENELEC,121519,AB111CH,non
SENELEC,121520,AA140SB.,non
SDT,116058,DK0607BG.,non
SDT,116348,AA951SH,non
SLT,106009,AA577CC,non
SLT,112711,AA690CC,non
SLT,112737,AA673CC,non
SLT,112738,AA636CC,non
SLT,112739,AA582CC,non
SLT,112740,AA578CC,non
SLT,112741,AA507CC,non
SLT,112742,AA721CC,non
SLT,112743,AA466CC,non
SLT,112744,AA442CC,non
SLT,112745,AA446CC,non
SLT,112746,AA434CC,non
SLT,112747,AA616CC,non
SLT,112750,AA692CC,non
TOSTAN,118760,AA323QD0,non
TOSTAN,118793,3592TTC1,non
TOTAL,109931,AA364QW,non
TOTAL,109949,AB128BK,non
TOTAL,109950,AB539DL,non
TOTAL,109967,AA519ZF,non
TOTAL,109986,AA544QN,non
TRANSGAYE,109981,TH8124G,non
TRANSGAYE,109982,AA852AY,non
TRANSGAYE,109983,TH6837K0,non
TRANSGAYE,109984,TH2267F,non
TRANSGAYE,118724,TH3264L,non
TRANSGAYE,118725,AA936BG,non
TRANSGAYE,118726,TH7970E,non
TRANSGAYE,118727,TH6682F,non
TRANSGAYE,118807,TH9848G,non
TAD,118367,AA761BD,non
TAD,118809,TH4730E,non
TAD,118810,AA348HP,non
TAD,118811,AA 977 FV,non
TAD,118812,AA236VJ,non
TAD,118815,AA647ML,non
